# status	id	files	rules	last_commit	note
todo	L001	src/__tests__/resume-drill.test.ts	@typescript-eslint/no-unused-vars		
todo	L002	src/app/orchestrator/compliance/compliance-pipeline.ts	@typescript-eslint/no-unused-vars		
todo	L003	src/app/orchestrator/run/batch-engine.ts	complexity,max-depth,max-statements		
todo	L004	src/app/orchestrator/run/run-engine.ts	complexity,max-statements		
todo	L005	src/app/orchestrator/run/task-engine-attempt.ts	max-statements		
todo	L006	src/app/services/log-query-service.ts	complexity,max-lines		
todo	L007	src/cli/commands/control-plane/index.ts	max-lines		
todo	L008	src/cli/commands/logs/index.ts	complexity,max-lines		
todo	L009	src/cli/tasks.ts	max-lines		
todo	L010	src/control-plane/extract/deps-packages.ts	max-depth		
todo	L011	src/control-plane/extract/deps-ts-imports.ts	max-depth		
todo	L012	src/control-plane/extract/symbols-ts/refs.ts	max-lines		
todo	L013	src/control-plane/integration/derived-scope.ts	complexity,max-lines		
todo	L014	src/core/autopilot.ts	complexity,max-lines,max-statements		
todo	L015	src/core/manifest-rescope.ts	complexity		
todo	L016	src/core/paths.ts	max-params		
todo	L017	src/core/planner.ts	max-lines		
todo	L018	src/core/state.ts	max-lines		
todo	L019	src/ui/code-graph.ts	max-lines		
todo	L020	src/validators/architecture-validator.ts	max-lines		
todo	L021	src/validators/doctor-validator.ts	max-lines		
